"UF","DOC_KEY","QTD_POLOS_MESMO_DOC","CERTEZA_VINCULO","INSTITUICAO","NOME_POLO_OU_CAMPUS","MUNICIPIO_POLO","NOME_ARQUIVO_LOCAL","CAMINHO_ARQUIVO_LOCAL","PPC_COMPARTILHADO"
"MA","45FB0402A5F23BDBF679E6D10AF6AFD0C5098086E93A574C9AED42280594AF22","4","ALTA","UFMA","Polo Cururupu","Cururupu","MA__Universidade_Estadual_da_Regiao_Tocantina_do_Maranhao_UEMASUL__PRESENCIAL__POLOS_4__Vila_Nova_dos_Martirios_Amarante_do_Maranhao_Itinga_do_Maranhao_Porto_Franco__2024__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\MA\MA__Universidade_Estadual_da_Regiao_Tocantina_do_Maranhao_UEMASUL__PRESENCIAL__POLOS_4__Vila_Nova_dos_Martirios_Amarante_do_Maranhao_Itinga_do_Maranhao_Porto_Franco__2024__DOC0004.pdf","SIM"
"MA","45FB0402A5F23BDBF679E6D10AF6AFD0C5098086E93A574C9AED42280594AF22","4","ALTA","UNIVIMA","CAMPUS  - SÃO LUÍS - PRAIA GRANDE","São Luís","MA__Universidade_Estadual_da_Regiao_Tocantina_do_Maranhao_UEMASUL__PRESENCIAL__POLOS_4__Vila_Nova_dos_Martirios_Amarante_do_Maranhao_Itinga_do_Maranhao_Porto_Franco__2024__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\MA\MA__Universidade_Estadual_da_Regiao_Tocantina_do_Maranhao_UEMASUL__PRESENCIAL__POLOS_4__Vila_Nova_dos_Martirios_Amarante_do_Maranhao_Itinga_do_Maranhao_Porto_Franco__2024__DOC0004.pdf","SIM"
"MA","6DE57A36E2A3C87DFFBA9615D41E9A6AA7797F3FB4E4D399D268DB8966D60B34","1","ALTA","UEMASUL","Campus SEDE","Imperatriz","MA__Universidade_Estadual_do_Maranhao_UEMA__PRESENCIAL__POLO__Campus_Bacabal__Bacabal__2015__DOC0005.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\MA\MA__Universidade_Estadual_do_Maranhao_UEMA__PRESENCIAL__POLO__Campus_Bacabal__Bacabal__2015__DOC0005.pdf","NAO"
"MA","EC88485E853F276965FD4B3EB2DBD4755674E124820AB3CEB3343FB6796F65A8","1","ALTA","UFMA","Pólo de Apoio Presencial da UAB em Bom Jesus das Selvas","Bom Jesus das Selvas","MA__Universidade_Estadual_do_Maranhao_UEMA__PRESENCIAL__POLO__Centro_de_Estudos_Superiores_de_Caxias_CESC__Caxias__2015__DOC0003.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\MA\MA__Universidade_Estadual_do_Maranhao_UEMA__PRESENCIAL__POLO__Centro_de_Estudos_Superiores_de_Caxias_CESC__Caxias__2015__DOC0003.pdf","NAO"
"MA","F9DE6D04911301AA92547EBA66B3BA09710C3E9CDDCF39474A1BA6259274C811","1","ALTA","UFMA","Cidade Universitária","São Luís","MA__Universidade_Estadual_do_Maranhao_UEMA__PRESENCIAL__POLO__Centro_de_Estudos_Superiores_de_Balsas_CESBA__Balsas__2015__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\MA\MA__Universidade_Estadual_do_Maranhao_UEMA__PRESENCIAL__POLO__Centro_de_Estudos_Superiores_de_Balsas_CESBA__Balsas__2015__DOC0002.pdf","NAO"
"PB","42910BCBCE04DA2E6316B44E85E36F84F80D344A00F48ABC6F4805201D8DFD94","1","ALTA","UFPB","Polo UAB - DUAS ESTRADAS","Duas Estradas","PB__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_da_Paraiba_IF__PRESENCIAL__POLO__Campus_Campina_Grande__Campina_Grande__NAO_ENCONTRADO__DOC0008.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_da_Paraiba_IF__PRESENCIAL__POLO__Campus_Campina_Grande__Campina_Grande__NAO_ENCONTRADO__DOC0008.pdf","NAO"
"PB","594954A334A9B4DF186B2E9AED92772C728A80F3E5D2E13807E6335B844169EF","1","ALTA","UEPB","Campus VII","Patos","PB__Universidade_Federal_de_Campina_Grande_UFCG__PRESENCIAL__POLO__Campus_de_Cuite_Centro_de_Educacao_e_Saude_CES__Cuite__2008__DOC0007.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Universidade_Federal_de_Campina_Grande_UFCG__PRESENCIAL__POLO__Campus_de_Cuite_Centro_de_Educacao_e_Saude_CES__Cuite__2008__DOC0007.pdf","NAO"
"PB","5F72574EBA94170A70809FA67E90A342C88395EB98397BACD458B2B95EE8E83B","1","ALTA","UEPB","Centro de Ciências Humanas e Exatas - Campus VI","Monteiro","PB__Universidade_Federal_de_Campina_Grande_UFCG__PRESENCIAL__POLOS_1__Campina_Grande__2008__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Universidade_Federal_de_Campina_Grande_UFCG__PRESENCIAL__POLOS_1__Campina_Grande__2008__DOC0002.pdf","SIM"
"PB","70A06BE69380089D2EF9FC72D78C898288A3757B1AEA0A34C61232E3B343B85D","1","ALTA","UFPB","Campus IV- Centro de Ciências Aplicadas e Educação - CCAE - Rio Tinto","Rio Tinto","PB__Universidade_Estadual_da_Paraiba_UEPB__PRESENCIAL__POLO__Centro_de_Ciencias_Humanas_e_Exatas_Campus_VI__Monteiro__2016__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Universidade_Estadual_da_Paraiba_UEPB__PRESENCIAL__POLO__Centro_de_Ciencias_Humanas_e_Exatas_Campus_VI__Monteiro__2016__DOC0001.pdf","NAO"
"PB","715005E579DCFD2BF37B059CB7830F2B50E3A5969B3DE66B97451D38F7534FAC","1","ALTA","UFPB","Polo UAB - JOAO PESSOA","João Pessoa","PB__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_da_Paraiba_IF__PRESENCIAL__POLO__Campus_Cajazeiras__Cajazeiras__NAO_ENCONTRADO__DOC0005.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_da_Paraiba_IF__PRESENCIAL__POLO__Campus_Cajazeiras__Cajazeiras__NAO_ENCONTRADO__DOC0005.pdf","NAO"
"PB","797B28F5F9C18CFC00B0380C0FCB83AC439A9A21784325DC8BC07FD0DEAA794A","1","ALTA","UFPB","Polo UAB - ITAPORANGA","Itaporanga","PB__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_da_Paraiba_IF__PRESENCIAL__POLO__Campus_Joao_Pessoa__Joao_Pessoa__2018__DOC0006.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_da_Paraiba_IF__PRESENCIAL__POLO__Campus_Joao_Pessoa__Joao_Pessoa__2018__DOC0006.pdf","NAO"
"PB","98714F606A40135E66127686737FCBD68F4133F16C6883E57E7D9DD6B3C17D44","1","ALTA","UFPB","Polo UAB - SAO BENTO","São Bento","PB__Universidade_Estadual_da_Paraiba_UEPB__PRESENCIAL__POLO__Campus_I__Campina_Grande__2016__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Universidade_Estadual_da_Paraiba_UEPB__PRESENCIAL__POLO__Campus_I__Campina_Grande__2016__DOC0004.pdf","NAO"
"PB","C5C0A9BD492F603BF8A406FFF92CC2DE5347541482181060917BF2D6FF18DA21","1","ALTA","UFCG","Campus de Cajazeiras","Cajazeiras","PB__Universidade_Estadual_da_Paraiba_UEPB__PRESENCIAL__POLO__Campus_VII__Patos__2016__DOC0003.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PB\PB__Universidade_Estadual_da_Paraiba_UEPB__PRESENCIAL__POLO__Campus_VII__Patos__2016__DOC0003.pdf","NAO"
"PE","08A9C4DD0FE43CDFCA9FA4A0505C33FEA568BADA32D9BCF267A38E26E4B7B082","1","ALTA","IFPE","Campus Recife","Recife","PE__Faculdade_de_Ciencias_Humanas_do_Sertao_Central_FACHUSC_mantida___PRESENCIAL__POLO__FACHUSC__Salgueiro_web_66__NAO_ENCONTRADO__DOC0005.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Faculdade_de_Ciencias_Humanas_do_Sertao_Central_FACHUSC_mantida___PRESENCIAL__POLO__FACHUSC__Salgueiro_web_66__NAO_ENCONTRADO__DOC0005.pdf","NAO"
"PE","0F5C86D4E1F986649333DE5E7AB639E9672DEA3EC0DD0EDE552EF0016E65BBF0","1","ALTA","IF SERTÃO-PE","Campus Ouricuri","Ouricuri","PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_do_Sertao_Per__EAD__POLOS_1__Petrolina_page_1__2023_page_1__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_do_Sertao_Per__EAD__POLOS_1__Petrolina_page_1__2023_page_1__DOC0001.pdf","SIM"
"PE","12F1424C5B248F44D5E06DCBA230751DF115E266D8B67E943C19FEC714EAB1B5","1","ALTA","UFPE","Garanhuns - Santo Antônio","Garanhuns","PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_do_Sertao_Per__PRESENCIAL__POLO__Campus_Santa_Maria_da_Boa_Vista_web_78_web_81__Santa_Maria_da_Boa_Vista_web_81__2022_web_79_web_81__DOC0003.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_do_Sertao_Per__PRESENCIAL__POLO__Campus_Santa_Maria_da_Boa_Vista_web_78_web_81__Santa_Maria_da_Boa_Vista_web_81__2022_web_79_web_81__DOC0003.pdf","NAO"
"PE","5AABB16481519BCB33F0959270D5949EFA9C04ECA4F0D196CB54C23EE543B8DB","1","ALTA","UPE","CAMPUS  PETROLINA","Petrolina","PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_do_Sertao_Per__PRESENCIAL__POLO__Campus_Ouricuri_web_1_web_3__Ouricuri_web_1_web_3__2025_web_3_web_9__DOC0006.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_do_Sertao_Per__PRESENCIAL__POLO__Campus_Ouricuri_web_1_web_3__Ouricuri_web_1_web_3__2025_web_3_web_9__DOC0006.pdf","NAO"
"PE","933BE41DF58A9747306CCE102F322AB0F0817E4794FA7342F2809851B986E382","1","ALTA","UFPE","Recife - Madalena","Recife","PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_de_Pernambuco__PRESENCIAL__POLO__IFPE_Campus_Pesqueira_web_98_web_125__Pesqueira_web_98_web_125__2010_web_98__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Instituto_Federal_de_Educacao_Ciencia_e_Tecnologia_de_Pernambuco__PRESENCIAL__POLO__IFPE_Campus_Pesqueira_web_98_web_125__Pesqueira_web_98_web_125__2010_web_98__DOC0002.pdf","NAO"
"PE","9A577A733834CBD1438986800ACB03DECFE15E8010AD3C4424645D5EE8DA0155","3","ALTA","IFPE","Polo de Apoio Presencial de Limoeiro","Limoeiro","PE__Universidade_de_Pernambuco_UPE_page_2__PRESENCIAL__POLOS_3__Garanhuns_page_2_Nazare_da_Mata_page_2_Petrolina__2017_page_2__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Universidade_de_Pernambuco_UPE_page_2__PRESENCIAL__POLOS_3__Garanhuns_page_2_Nazare_da_Mata_page_2_Petrolina__2017_page_2__DOC0004.pdf","SIM"
"PE","9A577A733834CBD1438986800ACB03DECFE15E8010AD3C4424645D5EE8DA0155","3","ALTA","UFPE","Campus Universitário Cidade do Recife","Recife","PE__Universidade_de_Pernambuco_UPE_page_2__PRESENCIAL__POLOS_3__Garanhuns_page_2_Nazare_da_Mata_page_2_Petrolina__2017_page_2__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Universidade_de_Pernambuco_UPE_page_2__PRESENCIAL__POLOS_3__Garanhuns_page_2_Nazare_da_Mata_page_2_Petrolina__2017_page_2__DOC0004.pdf","SIM"
"PE","9A577A733834CBD1438986800ACB03DECFE15E8010AD3C4424645D5EE8DA0155","3","ALTA","UFRPE","Recife","Recife","PE__Universidade_de_Pernambuco_UPE_page_2__PRESENCIAL__POLOS_3__Garanhuns_page_2_Nazare_da_Mata_page_2_Petrolina__2017_page_2__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PE\PE__Universidade_de_Pernambuco_UPE_page_2__PRESENCIAL__POLOS_3__Garanhuns_page_2_Nazare_da_Mata_page_2_Petrolina__2017_page_2__DOC0004.pdf","SIM"
"PI","381878D863F6FD48B072D7EECC5A1388D962DFC4A3B0E57EDAF13FCF0518A3DC","1","ALTA","UESPI","CURIMATÁ","Curimatá","PI__Universidade_Federal_do_Delta_do_Parnaiba_UFDPar__PRESENCIAL__POLO__Unidade_SEDE_Campus_Ministro_Reis_Velloso__Parnaiba__2010__DOC0003.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Federal_do_Delta_do_Parnaiba_UFDPar__PRESENCIAL__POLO__Unidade_SEDE_Campus_Ministro_Reis_Velloso__Parnaiba__2010__DOC0003.pdf","NAO"
"PI","3B089343EFABBC007495C2328646BE61DE1A2A643F65F716786FF2DE3B23832C","3","ALTA","UESPI","CAMPUS  - TERESINA - PIRAJÁ","Teresina","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_2__Teresina__2023__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_2__Teresina__2023__DOC0004.pdf","SIM"
"PI","3B089343EFABBC007495C2328646BE61DE1A2A643F65F716786FF2DE3B23832C","3","ALTA","UESPI","Campus dep. Jesualdo Cavalcanti","Corrente","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_2__Teresina__2023__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_2__Teresina__2023__DOC0004.pdf","SIM"
"PI","3B089343EFABBC007495C2328646BE61DE1A2A643F65F716786FF2DE3B23832C","3","ALTA","UESPI","PROF. ARISTON DIAS LIMA - SÃO RDO. NONATO","São Raimundo Nonato","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_2__Teresina__2023__DOC0004.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_2__Teresina__2023__DOC0004.pdf","SIM"
"PI","5D44AEE617E2B899192140B45490B30840AC67D31D2DA6FDB338D7EEA1895F2E","2","ALTA","UESPI","Campus Clovis Moura","Teresina","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLO__Campus_Clovis_Moura__Teresina__NAO_ENCONTRADO__DOC0006.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLO__Campus_Clovis_Moura__Teresina__NAO_ENCONTRADO__DOC0006.pdf","SIM"
"PI","5D44AEE617E2B899192140B45490B30840AC67D31D2DA6FDB338D7EEA1895F2E","2","ALTA","UFPI","Polo de Apoio Presencial - Luzilândia-PI","Luzilândia","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLO__Campus_Clovis_Moura__Teresina__NAO_ENCONTRADO__DOC0006.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLO__Campus_Clovis_Moura__Teresina__NAO_ENCONTRADO__DOC0006.pdf","SIM"
"PI","889F327D90131A591E76A2B6740DF5093F541D7817F6758E69657D5103CB4D73","3","ALTA","UESPI","ESPERANTINA","Esperantina","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_1__Esperantina__NAO_ENCONTRADO__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_1__Esperantina__NAO_ENCONTRADO__DOC0001.pdf","SIM"
"PI","889F327D90131A591E76A2B6740DF5093F541D7817F6758E69657D5103CB4D73","3","ALTA","UESPI","PROFº ANTONIO GIOVANNE ALVES DE SOUSA","Piripiri","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_1__Esperantina__NAO_ENCONTRADO__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_1__Esperantina__NAO_ENCONTRADO__DOC0001.pdf","SIM"
"PI","889F327D90131A591E76A2B6740DF5093F541D7817F6758E69657D5103CB4D73","3","ALTA","UFDPAR","Unidade SEDE - MINISTRO REIS VELLOSO","Parnaíba","PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_1__Esperantina__NAO_ENCONTRADO__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__PRESENCIAL__POLOS_1__Esperantina__NAO_ENCONTRADO__DOC0001.pdf","SIM"
"PI","9006AB3DA7D5379690CB18C4FEE90A348D8403CAAA665AF59A7FE1ED21A090AE","3","ALTA","UESPI","Piracuruca UAB","Piracuruca","PI__UFPI__PRESENCIAL__POLOS_2__Picos_Teresina__2023__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__UFPI__PRESENCIAL__POLOS_2__Picos_Teresina__2023__DOC0001.pdf","NAO"
"PI","9006AB3DA7D5379690CB18C4FEE90A348D8403CAAA665AF59A7FE1ED21A090AE","3","ALTA","UFPI","CAMPUS MINISTRO PETRÔNIO PORTELLA - Unidade SEDE","Teresina","PI__UFPI__PRESENCIAL__POLOS_2__Picos_Teresina__2023__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__UFPI__PRESENCIAL__POLOS_2__Picos_Teresina__2023__DOC0001.pdf","SIM"
"PI","9006AB3DA7D5379690CB18C4FEE90A348D8403CAAA665AF59A7FE1ED21A090AE","3","ALTA","UFPI","CAMPUS SENADOR HELVÍDIO NUNES DE BARROS","Picos","PI__UFPI__PRESENCIAL__POLOS_2__Picos_Teresina__2023__DOC0001.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__UFPI__PRESENCIAL__POLOS_2__Picos_Teresina__2023__DOC0001.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","IFPI","Campus Corrente do Instituto Federal do Piauí","Corrente","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","IFPI","Campus Pedro II do Instituto Federal do Piauí","Pedro II","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","IFPI","POLO DA UAB DE BARRAS","Barras","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","CAMPUS  - TERESINA - PIRAJÁ","Teresina","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","Campus Prof. Barros Araújo","Picos","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","Polo Simões","Simões","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","Polo UAB - ANISIO DE ABREU","Anísio de Abreu","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","Polo UAB Luís Correia","Luís Correia","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","Polo UAB Pio IX","Pio IX","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","Polo UAB Regeneração","Regeneração","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","Polo UAB São João do Piauí","São João do Piauí","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
"PI","EA1AC55258A2EA4D081A00DDF64C216F815B4277036B3E8167516D7FC3D5DE67","14","ALTA","UESPI","POLO UAP DE ALTOS - PI","Altos","PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","C:\Users\augus\Music\TCC\Data\new_date\pdfs_baixados\PI\PI__Universidade_Estadual_do_Piaui_UESPI__EAD__POLOS_7__Altos_Simoes_Teresina_Pio_IX_Sao_Joao_do_Piaui_Anisio_de_Abreu_Luis_Correia__2025__DOC0002.pdf","SIM"
